ESTU_CONSECUTIVO,ESTU_GRADO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_CALENDARIO,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT,EXA_C_RTAS_CORR_CN,EXA_C_RTAS_CORR_CC,EXA_C_RTAS_CORR_LC,EXA_C_RTAS_CORR_MT,ESTU_GENERO_F,ESTU_GENERO_M,COLE_NATURALEZA_NO,COLE_NATURALEZA_O,COLE_JORNADA_COMPLETA,COLE_JORNADA_MAÑANA,COLE_JORNADA_TARDE,COLE_JORNADA_UNICA,EXA_MODALIDAD_OFF,EXA_MODALIDAD_ON,EXA_MODALIDAD_PA,EXA_MODALIDAD_PAL
22928303,6,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,13116,A,91540,PUERTO NARIÑO,91,AMAZONAS,6,4,3,6,0,0,0,0,False,True,False,True,True,False,False,False,False,False,True,False
23067992,7,COLEGIO  ADVENTISTA,49075,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,7,6,14,7,1,0,2,1,True,False,True,False,False,True,False,False,False,True,False,False
23321336,3,I.E. SAN JOSÉ OBRERO,23276,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,18,0,0,0,2,0,True,False,True,False,True,False,False,False,False,True,False,False
22888376,6,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19505,A,91001,LETICIA,91,AMAZONAS,7,4,5,4,1,0,0,0,True,False,False,True,False,False,True,False,False,False,True,False
23803146,3,INSTITUCION EDUCATIVA SANTANDER,16671,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,16,14,0,0,2,2,False,True,False,True,False,True,False,False,False,True,False,False
3138253,10,I.E. MANUELA BELTRAN,3708,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,8,4,7,5,1,0,1,0,True,False,False,True,False,True,False,False,False,True,False,False
21990038,7,I.E. SOLMERIDA BUILES,13029,A,99524,LA PRIMAVERA,99,VICHADA,4,2,7,7,0,0,1,1,True,False,False,True,False,True,False,False,True,False,False,False
22926257,7,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,13123,A,91540,PUERTO NARIÑO,91,AMAZONAS,5,3,3,2,0,0,0,0,True,False,False,True,False,True,False,False,False,False,True,False
4536118,7,I.E. CUSTODIO GARCIA ROVIRA,29700,A,94001,INÍRIDA,94,GUAINIA,9,9,8,9,1,1,1,1,True,False,False,True,False,True,False,False,False,False,True,False
23513581,3,I.E. ESCUELA NORMAL SUPERIOR MARIA REINA,45205,A,97001,MITÚ,97,VAUPES,0,0,7,9,0,0,1,1,True,False,False,True,False,True,False,False,False,False,True,False
2849066,5,INST. EDUCATIVA JOSE CELESTINO MUTIS,29766,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,9,6,8,4,1,0,1,0,False,True,False,True,False,False,False,True,False,False,True,False
22594957,8,I.E.D. DE CARURU,6580,A,97001,MITÚ,97,VAUPES,8,11,9,4,1,1,1,0,False,True,False,True,False,True,False,False,False,False,True,False
22344001,7,INSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJO,3699,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,8,10,7,10,1,1,1,1,False,True,False,True,False,True,False,False,False,False,True,False
21990256,5,I.E. SAGRADO CORAZON DE JESUS,45269,A,99773,CUMARIBO,99,VICHADA,7,5,5,4,1,0,0,0,False,True,False,True,False,True,False,False,True,False,False,False
23701593,9,I.E. ANTONIA SANTOS,52025,A,99001,PUERTO CARREÑO,99,VICHADA,7,14,18,8,1,2,2,1,True,False,False,True,False,True,False,False,False,False,True,False
